Size,Indices,AIC,BIC,CICOMP
3,"Ca_uM,K_uM,SO4_uM",2990.9430694730927,3009.8928703275787,3018.784116218372
3,"Ca_uM,K_uM,Cl_uM",2341.3690331571765,2360.3188340116626,2370.054179748135
3,"Ca_uM,SO4_uM,Cl_uM",2534.6144378752147,2553.5642387297007,2563.347050048412
3,"Mg_uM,Na_uM,K_uM",2564.8243396171365,2583.7741404716226,2588.811125790845
3,"Mg_uM,Na_uM,SO4_uM",2508.7477621134403,2527.6975629679264,2537.4856766988505
3,"Mg_uM,Na_uM,Cl_uM",2649.015381640417,2667.9651824949033,2677.7537819352715
3,"Mg_uM,K_uM,SO4_uM",3044.982263031299,3063.9320638857853,3073.715154709547
3,"Mg_uM,K_uM,Cl_uM",2700.800565553381,2719.750366407867,2714.407334742824
3,"Mg_uM,SO4_uM,Cl_uM",2627.450733049367,2646.400533903853,2656.185101125918
3,"Na_uM,K_uM,SO4_uM",2368.939702660358,2387.889503514844,2397.6384858355154
3,"Na_uM,K_uM,Cl_uM",2559.2945689892913,2578.2443698437773,2587.9890262834087
3,"Na_uM,SO4_uM,Cl_uM",2697.946489704755,2716.896290559241,2726.685909916919
3,"K_uM,SO4_uM,Cl_uM",2712.5836753916738,2731.53347624616,2741.3202992640972
4,"Temp_C,pH,DOC_M,DIC_mM",2124.6190377961143,2147.3587988214977,2175.5186338039275
4,"Temp_C,pH,DOC_M,Ca_uM",2144.1052163888835,2166.844977414267,2195.0047693646015
4,"Temp_C,pH,DOC_M,Mg_uM",2107.3118806754674,2130.0516417008507,2158.2114670326605
4,"Temp_C,pH,DOC_M,Na_uM",2134.1090106683846,2156.848771693768,2185.0085430453237
4,"Temp_C,pH,DOC_M,K_uM",2137.6595455711144,2160.399306596498,2188.5591333233533
4,"Temp_C,pH,DOC_M,SO4_uM",2145.606269903768,2168.3460309291513,2196.5058028992794
4,"Temp_C,pH,DOC_M,Cl_uM",2143.4655321887376,2166.205293214121,2194.3650936579875
4,"Temp_C,pH,DIC_mM,Ca_uM",2546.1317992671675,2568.871560292551,2597.0311018110333
4,"Temp_C,pH,DIC_mM,Mg_uM",2648.6199973436846,2671.359758369068,2698.7872485415082
4,"Temp_C,pH,DIC_mM,Na_uM",2641.8802668237904,2664.6200278491738,2692.776444779105
4,"Temp_C,pH,DIC_mM,K_uM",2618.586199038249,2641.3259600636325,2668.09730482398
4,"Temp_C,pH,DIC_mM,SO4_uM",2615.570397810217,2638.3101588356003,2666.4614523941636
4,"Temp_C,pH,DIC_mM,Cl_uM",2641.6030053963714,2664.3427664217547,2692.4635410269807
4,"Temp_C,pH,Ca_uM,Mg_uM",2652.3599917256847,2675.099752751068,2703.253723661787
4,"Temp_C,pH,Ca_uM,Na_uM",2197.878261702969,2220.6180227283526,2248.7430381410945
4,"Temp_C,pH,Ca_uM,K_uM",2722.9810895469072,2745.7208505722906,2773.8795573855946
4,"Temp_C,pH,Ca_uM,SO4_uM",2215.1633900539537,2237.903151079337,2266.058266757178
